1. Qwen/QwQ-32B | pipeline=text-generation | likes=2937 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
17. Qwen/Qwen3-Coder-480B-A35B-Instruct | pipeline=text-generation | likes=1347 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results
18. Qwen/Qwen2-VL-7B-Instruct | pipeline=image-text-to-text | likes=1281 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
19. Qwen/Qwen-Image-Edit-2509 | pipeline=image-to-image | likes=1190 | tags: diffusers, safetensors, image-to-image, en, zh, arxiv:2508.02324, license:apache-2.0, region:us
20. Qwen/Qwen3-8B | pipeline=text-generation | likes=1178 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B-Base
21. Qwen/Qwen3-Coder-30B-A3B-Instruct | pipeline=text-generation | likes=1139 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, endpoints_compatible
22. Qwen/Qwen-Image-Layered | pipeline=image-text-to-image | likes=1115 | tags: diffusers, safetensors, image-text-to-image, en, zh, arxiv:2512.15603, base_model:Qwen/Qwen-Image, base_model:finetune:Qwen/Qwen-Image
23. Qwen/Qwen3-235B-A22B | pipeline=text-generation | likes=1100 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, license:apache-2.0
24. Qwen/Qwen-Image-Edit-2511 | pipeline=image-to-image | likes=1099 | tags: diffusers, safetensors, image-to-image, en, zh, arxiv:2508.02324, license:apache-2.0, region:us
25. Qwen/Qwen3-Embedding-0.6B | pipeline=feature-extraction | likes=1094 | tags: sentence-transformers, safetensors, qwen3, text-generation, transformers, sentence-similarity, feature-extraction, text-embeddings-inference
26. Qwen/Qwen3-Next-80B-A3B-Instruct | pipeline=text-generation | likes=1032 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, arxiv:2309.00071, arxiv:2404.06654, arxiv:2505.09388
27. Qwen/Qwen3.5-27B | pipeline=image-text-to-text | likes=996 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible
28. Qwen/Qwen3-VL-8B-Instruct | pipeline=image-text-to-text | likes=978 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
29. Qwen/Qwen2.5-72B-Instruct | pipeline=text-generation | likes=962 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
30. Qwen/Qwen3-Omni-30B-A3B-Instruct | pipeline=any-to-any | likes=954 | tags: transformers, safetensors, qwen3_omni_moe, text-to-audio, multimodal, any-to-any, en, license:other
31. Qwen/Qwen3-ASR-1.7B | pipeline=automatic-speech-recognition | likes=911 | tags: safetensors, qwen3_asr, automatic-speech-recognition, arxiv:2601.21337, license:apache-2.0, eval-results, deploy:azure, region:us
32. Qwen/Qwen3-30B-A3B | pipeline=text-generation | likes=905 | tags: transformers, safetensors, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B-Base, base_model:finetune:Qwen/Qwen3-30B-A3B-Base, license:apache-2.0
33. Qwen/Qwen-Image-2512 | pipeline=text-to-image | likes=897 | tags: diffusers, safetensors, text-to-image, en, zh, arxiv:2508.02324, license:apache-2.0, deploy:azure
34. Qwen/Qwen3-4B-Instruct-2507 | pipeline=text-generation | likes=892 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results
35. Qwen/Qwen3-30B-A3B-Instruct-2507 | pipeline=text-generation | likes=819 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2402.17463, arxiv:2407.02490, arxiv:2501.15383
36. Qwen/Qwen-7B-Chat | pipeline=text-generation | likes=789 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
37. Qwen/Qwen3-235B-A22B-Instruct-2507 | pipeline=text-generation | likes=786 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2402.17463, arxiv:2407.02490, arxiv:2501.15383
38. Qwen/Qwen2.5-1.5B-Instruct | pipeline=text-generation | likes=757 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671
39. Qwen/Qwen2.5-Coder-7B-Instruct | pipeline=text-generation | likes=745 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
40. Qwen/Qwen3-Embedding-8B | pipeline=feature-extraction | likes=732 | tags: sentence-transformers, safetensors, transformers, sentence-similarity, feature-extraction, text-embeddings-inference, arxiv:2506.05176, base_model:Qwen/Qwen3-8B-Base
41. Qwen/Qwen2-72B-Instruct | pipeline=text-generation | likes=718 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
42. Qwen/Qwen3.5-4B | pipeline=image-text-to-text | likes=713 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-4B-Base, base_model:finetune:Qwen/Qwen3.5-4B-Base, license:apache-2.0
43. Qwen/Qwen3-32B | pipeline=text-generation | likes=709 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, license:apache-2.0
44. Qwen/Qwen2-7B-Instruct | pipeline=text-generation | likes=686 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
45. Qwen/Qwen2.5-VL-3B-Instruct | pipeline=image-text-to-text | likes=670 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
46. Qwen/Qwen3-4B | pipeline=text-generation | likes=645 | tags: transformers, safetensors, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-4B-Base, base_model:finetune:Qwen/Qwen3-4B-Base, license:apache-2.0
47. Qwen/Qwen2.5-VL-72B-Instruct | pipeline=image-text-to-text | likes=632 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
48. Qwen/QVQ-72B-Preview | pipeline=image-text-to-text | likes=610 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, chat, conversational, en, arxiv:2409.12191
49. Qwen/Qwen3.5-0.8B | pipeline=image-text-to-text | likes=605 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-0.8B-Base, base_model:finetune:Qwen/Qwen3.5-0.8B-Base, license:apache-2.0
50. Qwen/Qwen3-4B-Thinking-2507 | pipeline=text-generation | likes=600 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results
51. Qwen/Qwen3-VL-30B-A3B-Instruct | pipeline=image-text-to-text | likes=582 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
52. Qwen/Qwen3.5-122B-A10B | pipeline=image-text-to-text | likes=581 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible
53. Qwen/Qwen2.5-0.5B-Instruct | pipeline=text-generation | likes=549 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671
54. Qwen/Qwen2-Audio-7B-Instruct | pipeline=audio-text-to-text | likes=544 | tags: transformers, safetensors, qwen2_audio, text2text-generation, chat, audio, audio-text-to-text, en
55. Qwen/Qwen3-Embedding-0.6B-GGUF | pipeline=? | likes=539 | tags: gguf, arxiv:2506.05176, base_model:Qwen/Qwen3-0.6B-Base, base_model:quantized:Qwen/Qwen3-0.6B-Base, license:apache-2.0, endpoints_compatible, region:us, conversational
56. Qwen/Qwen-AgentWorld-35B-A3B | pipeline=text-generation | likes=530 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, qwen, world-model, agent, environment-simulation
57. Qwen/Qwen2.5-3B-Instruct | pipeline=text-generation | likes=521 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671
58. Qwen/Qwen2-VL-2B-Instruct | pipeline=image-text-to-text | likes=512 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
59. Qwen/Qwen3-1.7B | pipeline=text-generation | likes=496 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-1.7B-Base, base_model:finetune:Qwen/Qwen3-1.7B-Base
60. Qwen/Qwen2.5-VL-32B-Instruct | pipeline=image-text-to-text | likes=494 | tags: transformers, safetensors, multimodal, image-text-to-text, en, arxiv:2309.00071, arxiv:2502.13923, license:apache-2.0
61. Qwen/Qwen3-Next-80B-A3B-Thinking | pipeline=text-generation | likes=490 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, arxiv:2501.15383
62. Qwen/Qwen3-VL-Embedding-8B | pipeline=sentence-similarity | likes=451 | tags: sentence-transformers, safetensors, qwen3_vl, image-text-to-text, transformers, multimodal embedding, qwen, embedding
63. Qwen/Qwen3-VL-2B-Instruct | pipeline=image-text-to-text | likes=436 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
64. Qwen/Qwen3-TTS-12Hz-1.7B-Base | pipeline=? | likes=434 | tags: safetensors, qwen3_tts, arxiv:2601.15621, license:apache-2.0, region:us
65. Qwen/Qwen2.5-0.5B | pipeline=text-generation | likes=428 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0
66. Qwen/Qwen3-VL-Embedding-2B | pipeline=sentence-similarity | likes=427 | tags: sentence-transformers, safetensors, qwen3_vl, image-text-to-text, transformers, multimodal embedding, qwen, embedding
67. Qwen/Qwen3-14B | pipeline=text-generation | likes=417 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-14B-Base
68. Qwen/Qwen3-235B-A22B-Thinking-2507 | pipeline=text-generation | likes=407 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2402.17463, arxiv:2407.02490, arxiv:2501.15383
69. Qwen/Qwen3-VL-4B-Instruct | pipeline=image-text-to-text | likes=404 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
70. Qwen/Qwen3-VL-235B-A22B-Instruct | pipeline=image-text-to-text | likes=400 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
71. Qwen/Qwen-7B | pipeline=text-generation | likes=399 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
72. Qwen/Qwen3-VL-235B-A22B-Thinking | pipeline=image-text-to-text | likes=399 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
73. Qwen/Qwen-VL-Chat | pipeline=text-generation | likes=384 | tags: transformers, pytorch, qwen, text-generation, custom_code, zh, en, arxiv:2308.12966
74. Qwen/Qwen3-30B-A3B-Thinking-2507 | pipeline=text-generation | likes=377 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2402.17463, arxiv:2407.02490, arxiv:2501.15383
75. Qwen/Qwen-14B-Chat | pipeline=text-generation | likes=373 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
76. Qwen/Qwen2.5-7B-Instruct-1M | pipeline=text-generation | likes=371 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2501.15383
77. Qwen/Qwen3-Reranker-0.6B | pipeline=text-ranking | likes=369 | tags: transformers, safetensors, qwen3, text-generation, sentence-transformers, text-ranking, arxiv:2506.05176, base_model:Qwen/Qwen3-0.6B-Base
78. Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign | pipeline=text-to-speech | likes=366 | tags: qwen-tts, safetensors, qwen3_tts, audio, tts, qwen, multilingual, text-to-speech
79. Qwen/Qwen-72B | pipeline=text-generation | likes=360 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
80. Qwen/Qwen2.5-32B-Instruct | pipeline=text-generation | likes=354 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
81. Qwen/CodeQwen1.5-7B-Chat | pipeline=text-generation | likes=353 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
82. Qwen/Qwen2.5-14B-Instruct | pipeline=text-generation | likes=351 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
83. Qwen/Qwen2.5-14B-Instruct-1M | pipeline=text-generation | likes=341 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2501.15383
84. Qwen/Qwen2.5-Omni-3B | pipeline=any-to-any | likes=337 | tags: transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other
85. Qwen/Qwen3.5-2B | pipeline=image-text-to-text | likes=323 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-2B-Base, base_model:finetune:Qwen/Qwen3.5-2B-Base, license:apache-2.0
86. Qwen/Qwen2-VL-72B-Instruct | pipeline=image-text-to-text | likes=310 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
87. Qwen/Qwen2.5-Coder-7B-Instruct-GGUF | pipeline=text-generation | likes=310 | tags: transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation
88. Qwen/Qwen3-ASR-0.6B | pipeline=automatic-speech-recognition | likes=310 | tags: safetensors, qwen3_asr, automatic-speech-recognition, arxiv:2601.21337, license:apache-2.0, eval-results, deploy:azure, region:us
89. Qwen/Qwen3-Omni-30B-A3B-Thinking | pipeline=any-to-any | likes=309 | tags: transformers, safetensors, qwen3_omni_moe, text-to-audio, multimodal, any-to-any, en, license:other
90. Qwen/Qwen3.6-35B-A3B-FP8 | pipeline=image-text-to-text | likes=299 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.6-35B-A3B, base_model:quantized:Qwen/Qwen3.6-35B-A3B, license:apache-2.0
91. Qwen/Qwen3.6-27B-FP8 | pipeline=image-text-to-text | likes=298 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.6-27B, base_model:quantized:Qwen/Qwen3.6-27B, license:apache-2.0
92. Qwen/Qwen2.5-7B | pipeline=text-generation | likes=294 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0
93. Qwen/Qwen3-Embedding-4B | pipeline=feature-extraction | likes=292 | tags: sentence-transformers, safetensors, qwen3, text-generation, transformers, sentence-similarity, feature-extraction, text-embeddings-inference
94. Qwen/Qwen-VL | pipeline=text-generation | likes=284 | tags: transformers, pytorch, qwen, text-generation, custom_code, zh, en, arxiv:2308.12966
95. Qwen/Qwen3-Coder-Next-GGUF | pipeline=text-generation | likes=260 | tags: transformers, gguf, text-generation, arxiv:2309.00071, license:apache-2.0, endpoints_compatible, deploy:azure, region:us
96. Qwen/Qwen3-TTS-12Hz-0.6B-Base | pipeline=text-to-speech | likes=259 | tags: safetensors, qwen3_tts, audio, tts, voice-clone, text-to-speech, zh, en
97. Qwen/Qwen3-Reranker-8B | pipeline=text-ranking | likes=248 | tags: transformers, safetensors, qwen3, text-generation, sentence-transformers, text-ranking, arxiv:2506.05176, base_model:Qwen/Qwen3-8B-Base
98. Qwen/Qwen3-Omni-30B-A3B-Captioner | pipeline=any-to-any | likes=231 | tags: transformers, safetensors, qwen3_omni_moe, text-to-audio, multimodal, any-to-any, en, license:other
99. Qwen/Qwen1.5-MoE-A2.7B | pipeline=text-generation | likes=227 | tags: transformers, safetensors, qwen2_moe, text-generation, pretrained, moe, conversational, en
100. Qwen/Qwen1.5-72B-Chat | pipeline=text-generation | likes=217 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
101. Qwen/Qwen3-VL-8B-Thinking | pipeline=image-text-to-text | likes=215 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
102. Qwen/Qwen-14B | pipeline=text-generation | likes=214 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
103. Qwen/Qwen3-8B-GGUF | pipeline=text-generation | likes=212 | tags: gguf, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B, base_model:quantized:Qwen/Qwen3-8B, license:apache-2.0, endpoints_compatible
104. Qwen/QwQ-32B-GGUF | pipeline=text-generation | likes=211 | tags: gguf, chat, text-generation, en, arxiv:2309.00071, arxiv:2412.15115, base_model:Qwen/QwQ-32B, base_model:quantized:Qwen/QwQ-32B
105. Qwen/Qwen3-VL-32B-Instruct | pipeline=image-text-to-text | likes=210 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
106. Qwen/Qwen2.5-Coder-32B-Instruct-GGUF | pipeline=text-generation | likes=209 | tags: transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation
107. Qwen/Qwen2-0.5B-Instruct | pipeline=text-generation | likes=201 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, base_model:Qwen/Qwen2-0.5B
108. Qwen/Qwen3-VL-Reranker-2B | pipeline=text-ranking | likes=201 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, sentence-transformers, multimodal rerank, text rerank, text-ranking
109. Qwen/Qwen2-72B | pipeline=text-generation | likes=199 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, license:other
110. Qwen/Qwen3-VL-30B-A3B-Thinking | pipeline=image-text-to-text | likes=199 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
111. Qwen/Qwen2.5-3B | pipeline=text-generation | likes=194 | tags: safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:other, eval-results
112. Qwen/Qwen2.5-1.5B | pipeline=text-generation | likes=192 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0
113. Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 | pipeline=text-generation | likes=187 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, endpoints_compatible
114. Qwen/Qwen1.5-7B-Chat | pipeline=text-generation | likes=186 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
115. Qwen/Qwen3.5-397B-A17B-FP8 | pipeline=image-text-to-text | likes=181 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-397B-A17B, base_model:quantized:Qwen/Qwen3.5-397B-A17B, license:apache-2.0
116. Qwen/Qwen2-7B-Instruct-GGUF | pipeline=text-generation | likes=179 | tags: gguf, chat, text-generation, en, base_model:Qwen/Qwen2-7B-Instruct, base_model:quantized:Qwen/Qwen2-7B-Instruct, license:apache-2.0, endpoints_compatible
117. Qwen/Qwen2.5-32B | pipeline=text-generation | likes=179 | tags: safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0, eval-results
118. Qwen/Qwen1.5-0.5B | pipeline=text-generation | likes=174 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
119. Qwen/Qwen3-0.6B-Base | pipeline=text-generation | likes=174 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, text-generation-inference
120. Qwen/Qwen2-Audio-7B | pipeline=audio-text-to-text | likes=172 | tags: transformers, safetensors, qwen2_audio, text2text-generation, chat, audio, audio-text-to-text, en
121. Qwen/Qwen2-7B | pipeline=text-generation | likes=171 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, license:apache-2.0
122. Qwen/Qwen2.5-Coder-14B-Instruct | pipeline=text-generation | likes=171 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
123. Qwen/Qwen2-0.5B | pipeline=text-generation | likes=169 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, license:apache-2.0
124. Qwen/Qwen2.5-7B-Instruct-GGUF | pipeline=text-generation | likes=164 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B-Instruct, base_model:quantized:Qwen/Qwen2.5-7B-Instruct, license:apache-2.0
125. Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice | pipeline=text-to-speech | likes=164 | tags: safetensors, qwen3_tts, tts, qwen, audio, text-to-speech, zh, en
126. Qwen/Qwen2-1.5B-Instruct | pipeline=text-generation | likes=162 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, license:apache-2.0
127. Qwen/Qwen2.5-Coder-14B-Instruct-GGUF | pipeline=text-generation | likes=161 | tags: transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation
128. Qwen/Qwen2.5-Coder-32B | pipeline=text-generation | likes=157 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
129. Qwen/Qwen-72B-Chat | pipeline=text-generation | likes=156 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
130. Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8 | pipeline=text-generation | likes=156 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, endpoints_compatible
131. Qwen/Qwen3-Coder-Next-FP8 | pipeline=text-generation | likes=156 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, license:apache-2.0, endpoints_compatible, fp8
132. Qwen/Qwen2.5-Coder-7B | pipeline=text-generation | likes=155 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
133. Qwen/Qwen2.5-14B | pipeline=text-generation | likes=154 | tags: safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0, eval-results
134. Qwen/Qwen3-VL-Reranker-8B | pipeline=text-ranking | likes=154 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, sentence-transformers, multimodal rerank, text rerank, text-ranking
135. Qwen/Qwen3.5-35B-A3B-FP8 | pipeline=image-text-to-text | likes=152 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-35B-A3B, base_model:quantized:Qwen/Qwen3.5-35B-A3B, license:apache-2.0
136. Qwen/Qwen-Audio | pipeline=text-generation | likes=149 | tags: transformers, safetensors, qwen, text-generation, audio-text-to-text, custom_code, zh, en
137. Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 | pipeline=text-generation | likes=148 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-235B-A22B-Instruct-2507, base_model:quantized:Qwen/Qwen3-235B-A22B-Instruct-2507
138. Qwen/Qwen3-Reranker-4B | pipeline=text-ranking | likes=146 | tags: transformers, safetensors, qwen3, text-generation, sentence-transformers, text-ranking, arxiv:2506.05176, base_model:Qwen/Qwen3-4B-Base
139. Qwen/Qwen3-ForcedAligner-0.6B | pipeline=automatic-speech-recognition | likes=145 | tags: safetensors, qwen3_asr, automatic-speech-recognition, arxiv:2601.21337, license:apache-2.0, region:us
140. Qwen/Qwen2.5-3B-Instruct-GGUF | pipeline=text-generation | likes=142 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-3B-Instruct, base_model:quantized:Qwen/Qwen2.5-3B-Instruct, license:other
141. Qwen/Qwen3-32B-AWQ | pipeline=text-generation | likes=136 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-32B
142. Qwen/Qwen3.5-27B-FP8 | pipeline=image-text-to-text | likes=135 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-27B, base_model:quantized:Qwen/Qwen3.5-27B, license:apache-2.0
143. Qwen/Qwen1.5-MoE-A2.7B-Chat | pipeline=text-generation | likes=134 | tags: transformers, safetensors, qwen2_moe, text-generation, chat, conversational, en, license:other
